StartLevelPopup_Attempts|Попыток: {0}
StartLevelPopup_Task|{0}
StartLevelPopup_BestScore|Лучший: {0}
StartLevelPopup_LevelNumber|Level {0}
StartLevelPopup_1StarTarget|1 звезда: {0}
StartLevelPopup_2StarTarget|2 звезды: {0}
StartLevelPopup_3StarTarget|3 звезды: {0}
GameOverPopup_Money|У вас {0} монет
GameMode_Place|Вам нужно очистить грязь за {0} ходов
GameMode_Score|Вам нужно набрать {0} очков за {1} ходов
GameMode_Chuzzle|Вам нужно уничтожить конфетку {0} раз за {1} ходов
Gameplay_Points|Очки: {0}
Gameplay_Target|Цель: {0}
Gameplay_Turns|Ходов: {0}
WinPopup_TurnsLeft|Ходов осталось: {0}
WinPopup_Score|Счет: {0}
WinPopup_BestScore|Лучший: {0}
BuyLivePopup_MaxLifes|У вас {0} жизней. И это максимум
BuyLivePopup_Lifes|У вас {0} жизней.
BuyLivePopup_PlusOne|+1       in {0}